Object,Mass (kg),Carbon Dioxide,Nitrogen,Oxygen,Argon,Methane,Sodium,Hydrogen,Helium,Other
Sun,3.0x1030,,,,,,,71%,26%,3%
Mercury,1000,,,42%,,,22%,22%,6%,8%
Venus,4.8x1020,96%,4%,,,,,,,
Earth,1.4x1021,,78%,21%,1%,,,,,<1%
Moon,"100,000",,,,70%,,1%,,29%,
Mars,2.5x1016,95%,2.7%,,1.6%,,,,,0.7%
Jupiter,1.9x1027,,,,,,,89.8%,10.2%,
Saturn,5.4x1026,,,,,,,96.3%,3.2%,0.5%
Titan,9.1x1018,,97%,,,2%,,,,1%
Uranus,8.6x1025,,,,,2.3%,,82.5%,15.2%,
Neptune,1.0x1026,,,,,1.0%,,80%,19%,
Pluto,1.3x1014,8%,90%,,,2%,,,,
